,@status,@severity,cwe->@id,results->result->description->#text,results->result->tool->@category,results->result->tool->@name,rule->@code,rule->@name,escalated_predicted,escalated_values_predicted,escalated_binary_predicted
0,escalated,info,,Unnecessary semicolon.,,JSHint,JH--W032,Unnecessary semicolon,escalated,0.88020957,1
1,escalated,info,,Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (modInfo),,JSHint,JH--W083,Don't make functions within a loop,escalated,0.9506576,1
2,escalated,info,,Unnecessary semicolon.,,JSHint,JH--W032,Unnecessary semicolon,escalated,0.88020957,1
3,escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (modInfo, console, modulesInfo)",,JSHint,JH--W083,Don't make functions within a loop,escalated,0.93547726,1
4,escalated,info,,Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (spacesPerIndentLevel),,JSHint,JH--W083,Don't make functions within a loop,escalated,0.9346132,1
5,escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (stringifyMessageSpec, stringifyEnum)",,JSHint,JH--W083,Don't make functions within a loop,escalated,0.934526,1
6,false-positive,info,,'async functions' is only available in ES8 (use 'esversion: 8').,,JSHint,JH--W119,Use of ES6 extension,False,0.24792802,0
7,escalated,info,,Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (modInfo),,JSHint,JH--W083,Don't make functions within a loop,escalated,0.9506576,1
8,escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (identsArr, idents)",,JSHint,JH--W083,Don't make functions within a loop,escalated,0.940375,1
9,false-positive,info,,'async functions' is only available in ES8 (use 'esversion: 8').,,JSHint,JH--W119,Use of ES6 extension,False,0.24792802,0
10,false-positive,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
11,escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (stringifyMessageSpecMember, spacesPerIndentLevel, stringifyEnum)",,JSHint,JH--W083,Don't make functions within a loop,escalated,0.9424182,1
12,escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (stringifyMessageSpecMember, spacesPerIndentLevel)",,JSHint,JH--W083,Don't make functions within a loop,escalated,0.94123137,1
13,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
14,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
15,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
16,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
17,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
18,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
19,false-positive,info,,"Import ""from utilities import *"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.036186725,0
20,false-positive,info,,"Import ""import json"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.035135657,0
21,false-positive,info,,"Import ""from SimpleWebSocketServer import SimpleWebSocketServer, WebSocket"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.03950596,0
22,escalated,info,398.0,Unused import os,,Pylint,PYLINT-W0611,Unused import,escalated,0.7891742,1
23,false-positive,info,,"Import ""import traceback"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.036908984,0
24,false-positive,info,,"Import ""import os"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.038471937,0
25,escalated,info,398.0,Unused import base64,,Pylint,PYLINT-W0611,Unused import,escalated,0.8121188,1
26,false-positive,info,,"Import ""import base64"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.03512171,0
27,false-positive,info,,"Import ""import time"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.037781894,0
28,false-positive,info,,"Import ""import uuid"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.036019415,0
29,escalated,info,398.0,Unused import time,,Pylint,PYLINT-W0611,Unused import,escalated,0.7871734,1
30,false-positive,info,,"Import ""from whatsapp import WhatsAppWebClient"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.039723784,0
31,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
32,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
33,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
34,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
35,escalated,info,,"standard import ""import json"" should be placed before ""from google.protobuf import json_format""",,Pylint,PYLINT-C0411,Wrong Import Order,escalated,0.5975699,1
36,false-positive,info,99.0,Redefining built-in 'str',,Pylint,rule-410f759ae99f23256b6e08025a5f69a2e75c5191f98138371e845c83379bd593,Resource Injection,False,0.059327275,0
37,false-positive,info,99.0,Redefining built-in 'str',,Pylint,rule-410f759ae99f23256b6e08025a5f69a2e75c5191f98138371e845c83379bd593,Resource Injection,False,0.059327275,0
38,false-positive,info,99.0,Redefining built-in 'str',,Pylint,rule-410f759ae99f23256b6e08025a5f69a2e75c5191f98138371e845c83379bd593,Resource Injection,False,0.059327275,0
39,false-positive,info,99.0,Redefining built-in 'str',,Pylint,rule-410f759ae99f23256b6e08025a5f69a2e75c5191f98138371e845c83379bd593,Resource Injection,False,0.059327275,0
40,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
41,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
42,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
43,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
44,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
45,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
46,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
47,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
48,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
49,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
50,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
51,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
52,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
53,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
54,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
55,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
56,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
57,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
58,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
59,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
60,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
61,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
62,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
63,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.97203803,1
64,false-positive,info,,"Import ""from google.protobuf import reflection as _reflection"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.040544927,0
65,false-positive,info,,"Import ""from google.protobuf import descriptor as _descriptor"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.03854841,0
66,false-positive,info,,"Import ""from google.protobuf import message as _message"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.036772758,0
67,false-positive,info,,"Import ""from google.protobuf import symbol_database as _symbol_database"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,False,0.037913263,0
68,escalated,info,,Consider using ternary (lambda x: x if sys.version_info[0] &lt; 3 else lambda x: x.encode('latin1')),,Pylint,PYLINT-R1706,Consider using ternary,escalated,0.6386453,1
69,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
70,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
71,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
72,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
73,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
74,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
75,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
76,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
77,false-positive,info,,,,,JH--W004,Function already defined,False,0.06297642,0
78,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
79,false-positive,info,,,,,JH--W004,Function already defined,False,0.06297642,0
80,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
81,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
82,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
83,false-positive,info,398.0,,,,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.16541865,0
84,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
85,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
86,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
87,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
88,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
89,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
90,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
91,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
92,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
93,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
94,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
95,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
96,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
97,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
98,false-positive,info,,'a' is already defined.,,JSHint,JH--W004,Function already defined,False,0.0362916,0
99,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
100,escalated,info,,,,,JH--W040,Possible strict violation,escalated,0.9362579,1
101,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
102,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
103,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
104,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
105,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
106,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
107,false-positive,info,,,,,JH--W004,Function already defined,False,0.06297642,0
108,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
109,escalated,info,,"If a strict mode function is executed using function invocation, its 'this' value will be undefined.",,JSHint,JH--W040,Possible strict violation,escalated,0.93144214,1
110,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
111,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
112,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
113,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
114,escalated,info,,,,,JH--W058,Missing '()' invoking constructor,escalated,0.9626646,1
115,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
116,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
117,escalated,info,398.0,The for-in loop variable 'c' should be explicitly scoped with var to avoid pollution.,Best Practices,PMD,PMD-Basic Ecmascript-ScopeForInVariable,For-in loop variable not explicitly scoped,escalated,0.895004,1
118,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
119,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
120,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
121,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
122,false-positive,info,,,,,JH--W004,Function already defined,False,0.06297642,0
123,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
124,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
125,escalated,info,,'escape' is not defined.,,JSHint,JH--W117,Not defined,escalated,0.9523746,1
126,false-positive,info,,A leading decimal point can be confused with a dot: '.5'.,,JSHint,JH--W008,A leading decimal point can be confused with a dot,False,0.12676549,0
127,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
128,false-positive,info,,,,,JH--W004,Function already defined,False,0.06297642,0
129,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
130,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
131,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
132,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
133,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
134,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
135,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
136,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
137,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
138,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
139,escalated,info,,,,,JH--W040,Possible strict violation,escalated,0.9362579,1
140,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
141,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
142,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
143,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
144,false-positive,info,,'b' is already defined.,,JSHint,JH--W004,Function already defined,False,0.032650888,0
145,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
146,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
147,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
148,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
149,false-positive,info,,'h' is already defined.,,JSHint,JH--W004,Function already defined,False,0.0334678,0
150,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
151,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
152,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
153,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
154,false-positive,info,,'d' is already defined.,,JSHint,JH--W004,Function already defined,False,0.046524942,0
155,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
156,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
157,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
158,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
159,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
160,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
161,false-positive,info,,,,,JH--W008,A leading decimal point can be confused with a dot,False,0.29232168,0
162,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
163,false-positive,info,,'b' is already defined.,,JSHint,JH--W004,Function already defined,False,0.032650888,0
164,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
